timestep,population,phi,delta_phi,entropy,resource_concentration,reward_drift,agent_dominance,phi_resource_contribution,phi_reward_drift_contribution,phi_dominance_contribution,dominant_lineage_id,dominant_lineage_type,dominant_lineage_count
140,5,0.513338,-0.000996,0.97514,0.120208,0.973924,0.434641,0.042073,0.340873,0.130392,pp-0016,mutating,2
141,5,0.512778,-0.00056,0.974736,0.118405,0.973941,0.434858,0.041442,0.340879,0.130457,pp-0016,mutating,2
142,5,0.511769,-0.001009,0.97472,0.116408,0.973957,0.433804,0.040743,0.340885,0.130141,pp-0016,mutating,2
143,7,0.559613,0.047844,0.974846,0.253867,0.974029,0.43283,0.088854,0.34091,0.129849,pp-0016,mutating,2
144,7,0.565541,0.005928,0.970462,0.265891,0.97367,0.438984,0.093062,0.340784,0.131695,pp-0016,mutating,2
145,7,0.571816,0.006275,0.96568,0.278019,0.973636,0.445785,0.097307,0.340773,0.133736,pp-0016,mutating,2
146,7,0.578948,0.007132,0.959555,0.291884,0.973605,0.453419,0.10216,0.340762,0.136026,pp-0016,mutating,2
147,7,0.586892,0.007944,0.952035,0.30762,0.973574,0.461581,0.107667,0.340751,0.138474,pp-0016,mutating,2
148,7,0.595766,0.008874,0.942878,0.32499,0.973543,0.47093,0.113747,0.34074,0.141279,pp-0016,mutating,2
149,7,0.606186,0.01042,0.931007,0.345643,0.973512,0.481606,0.120975,0.340729,0.144482,pp-0016,mutating,2
150,7,0.618269,0.012083,0.915297,0.368708,0.97348,0.49501,0.129048,0.340718,0.148503,pp-0016,mutating,2
151,7,0.631926,0.013657,0.895204,0.394377,0.973449,0.510622,0.138032,0.340707,0.153187,pp-0016,mutating,2
152,6,0.60702,-0.024906,0.87974,0.312774,0.973493,0.522755,0.109471,0.340722,0.156827,pp-0016,mutating,2
153,6,0.611191,0.004171,0.871654,0.321389,0.973481,0.526625,0.112486,0.340718,0.157987,pp-0016,mutating,2
154,6,0.615209,0.004018,0.864637,0.328132,0.97347,0.532161,0.114846,0.340715,0.159648,pp-0016,mutating,2
155,6,0.619488,0.004279,0.857793,0.335412,0.973459,0.537943,0.117394,0.340711,0.161383,pp-0016,mutating,2
156,6,0.625248,0.00576,0.848236,0.345959,0.973448,0.544849,0.121086,0.340707,0.163455,pp-0016,mutating,2
157,6,0.630847,0.005599,0.838608,0.355131,0.973436,0.552826,0.124296,0.340703,0.165848,pp-0016,mutating,2
158,6,0.634463,0.003616,0.830488,0.362011,0.973425,0.556867,0.126704,0.340699,0.16706,pp-0016,mutating,2
159,6,0.640105,0.005642,0.818959,0.372434,0.973414,0.563526,0.130352,0.340695,0.169058,pp-0016,mutating,2
