schema,experiment_id,governance,steps,seed,replication_rate,mutation_rate,phi_threshold,transition_slope_threshold,phi_bounds,phi_normalized,phase_transition_step,transition_event,final_phi,final_entropy,final_agent_dominance,final_resource_concentration,final_reward_drift,final_phi_components,final_population,dominant_lineage_type,local_only,standard_library_only,external_validation_claim,production_claim
saee.parasitic_phase.result_summary.v1,A_no_governance,none,160,41,1.0,0.058,0.6,0.0,"[0.0, 1.0]",True,39,"{'type': 'transition_event', 'phase': 'parasitic_phase', 'timestep': 39, 'phi': 0.605479, 'phi_threshold': 0.6, 'transition_slope': 0.02234, 'slope_threshold': 0.0, 'pre_transition_entropy': 0.999834, 'detector': 'phi_above_phi_c_and_positive_slope', 'rule': 'phi > phi_threshold and delta_phi > transition_slope_threshold'}",0.640105,0.818959,0.563526,0.372434,0.973414,"{'normalized': True, 'phi_bounds': [0.0, 1.0], 'components': {'resource_concentration': 0.372434, 'reward_drift': 0.973414, 'agent_dominance': 0.563526}, 'weights': {'resource_concentration': 0.35, 'reward_drift': 0.35, 'agent_dominance': 0.3}, 'weighted_contributions': {'resource_concentration': 0.130352, 'reward_drift': 0.340695, 'agent_dominance': 0.169058}, 'normalization': {'resource_concentration': 'gini_coefficient_clamped_to_0_1', 'reward_drift': 'mean_reward_distance_divided_by_0.34_clamped_to_0_1', 'agent_dominance': 'max_lineage_population_or_resource_share_clamped_to_0_1'}}",6,mutating,True,True,False,False
saee.parasitic_phase.result_summary.v1,B_weak_governance,weak,160,41,1.0,0.058,0.6,0.0,"[0.0, 1.0]",True,121,"{'type': 'transition_event', 'phase': 'parasitic_phase', 'timestep': 121, 'phi': 0.603782, 'phi_threshold': 0.6, 'transition_slope': 0.009764, 'slope_threshold': 0.0, 'pre_transition_entropy': 0.901153, 'detector': 'phi_above_phi_c_and_positive_slope', 'rule': 'phi > phi_threshold and delta_phi > transition_slope_threshold'}",0.551028,0.877693,0.448244,0.217559,0.972597,"{'normalized': True, 'phi_bounds': [0.0, 1.0], 'components': {'resource_concentration': 0.217559, 'reward_drift': 0.972597, 'agent_dominance': 0.448244}, 'weights': {'resource_concentration': 0.35, 'reward_drift': 0.35, 'agent_dominance': 0.3}, 'weighted_contributions': {'resource_concentration': 0.076146, 'reward_drift': 0.340409, 'agent_dominance': 0.134473}, 'normalization': {'resource_concentration': 'gini_coefficient_clamped_to_0_1', 'reward_drift': 'mean_reward_distance_divided_by_0.34_clamped_to_0_1', 'agent_dominance': 'max_lineage_population_or_resource_share_clamped_to_0_1'}}",7,mutating,True,True,False,False
saee.parasitic_phase.result_summary.v1,C_strong_governance,strong,160,41,1.0,0.058,0.6,0.0,"[0.0, 1.0]",True,,,0.363088,0.972625,0.6,0.007759,0.515348,"{'normalized': True, 'phi_bounds': [0.0, 1.0], 'components': {'resource_concentration': 0.007759, 'reward_drift': 0.515348, 'agent_dominance': 0.6}, 'weights': {'resource_concentration': 0.35, 'reward_drift': 0.35, 'agent_dominance': 0.3}, 'weighted_contributions': {'resource_concentration': 0.002716, 'reward_drift': 0.180372, 'agent_dominance': 0.18}, 'normalization': {'resource_concentration': 'gini_coefficient_clamped_to_0_1', 'reward_drift': 'mean_reward_distance_divided_by_0.34_clamped_to_0_1', 'agent_dominance': 'max_lineage_population_or_resource_share_clamped_to_0_1'}}",5,mutating,True,True,False,False
