timestep,population,phi,delta_phi,entropy,resource_concentration,reward_drift,agent_dominance,phi_resource_contribution,phi_reward_drift_contribution,phi_dominance_contribution,dominant_lineage_id,dominant_lineage_type,dominant_lineage_count
143,5,0.52858,-0.002214,0.842595,0.140984,0.972642,0.462701,0.049345,0.340425,0.13881,pp-0016,mutating,2
144,5,0.526706,-0.001874,0.847502,0.138312,0.972653,0.459559,0.048409,0.340429,0.137868,pp-0016,mutating,2
145,5,0.52565,-0.001056,0.850102,0.13657,0.972664,0.458063,0.047799,0.340432,0.137419,pp-0016,mutating,2
146,5,0.524468,-0.001182,0.852157,0.134223,0.972675,0.456845,0.046978,0.340436,0.137054,pp-0016,mutating,2
147,5,0.523847,-0.000621,0.853789,0.133255,0.972686,0.455894,0.046639,0.34044,0.136768,pp-0016,mutating,2
148,5,0.522459,-0.001388,0.85808,0.129664,0.972697,0.455445,0.045382,0.340444,0.136633,pp-0016,mutating,2
149,5,0.520808,-0.001651,0.861277,0.126127,0.972708,0.454054,0.044144,0.340448,0.136216,pp-0016,mutating,2
150,5,0.519224,-0.001584,0.865051,0.123327,0.972719,0.452025,0.043165,0.340452,0.135607,pp-0016,mutating,2
151,5,0.518453,-0.000771,0.867643,0.120892,0.972731,0.452283,0.042312,0.340456,0.135685,pp-0016,mutating,2
152,5,0.51757,-0.000883,0.869184,0.118533,0.972742,0.45208,0.041486,0.34046,0.135624,pp-0016,mutating,2
153,5,0.515865,-0.001705,0.872154,0.11448,0.972753,0.451114,0.040068,0.340463,0.135334,pp-0016,mutating,2
154,5,0.515058,-0.000807,0.872523,0.112359,0.972764,0.450883,0.039326,0.340467,0.135265,pp-0016,mutating,2
155,5,0.51435,-0.000708,0.873298,0.110986,0.972775,0.450115,0.038845,0.340471,0.135034,pp-0016,mutating,2
156,5,0.513275,-0.001075,0.875362,0.109251,0.972786,0.448542,0.038238,0.340475,0.134562,pp-0016,mutating,2
157,5,0.512444,-0.000831,0.877816,0.106871,0.972797,0.448533,0.037405,0.340479,0.13456,pp-0016,mutating,2
158,7,0.547769,0.035325,0.878242,0.208237,0.972838,0.447976,0.072883,0.340493,0.134393,pp-0016,mutating,3
159,7,0.551028,0.003259,0.877693,0.217559,0.972597,0.448244,0.076146,0.340409,0.134473,pp-0016,mutating,3
